term,frequency_doc1,frequency_doc2,sum_of_frequencies
consider,1,1,2
confirmd,2,0,2
tooke,2,0,2
starres,2,0,2
ordained,0,2,2
deeds,2,0,2
plants,0,2,2
poure,2,0,2
spent,2,0,2
concupiscence,0,2,2
unlawful,0,2,2
custome,2,0,2
patient,2,0,2
sooth,2,0,2
sleeping,2,0,2
avarice,2,0,2
cleane,2,0,2
provokes,2,0,2
lechery,2,0,2
urine,1,1,2
pause,0,2,2
cryes,2,0,2
weale,2,0,2
deeper,1,1,2
special,0,2,2
begun,2,0,2
lyon,2,0,2
fruits,0,2,2
key,2,0,2
push,2,0,2
appeared,0,2,2
wonderful,0,2,2
desirous,0,2,2
clothed,0,2,2
naturall,2,0,2
store,0,2,2
grapes,0,2,2
finding,1,1,2
owd,2,0,2
ark,0,2,2
fy,2,0,2
affection,1,1,2
shed,1,1,2
painted,2,0,2
satin,0,2,2
chastity,0,2,2
twere,2,0,2
minister,2,0,2
firme,2,0,2
reported,1,1,2
lodgd,2,0,2
kinsman,2,0,2
pills,0,2,2
brest,2,0,2
kept,0,2,2
faithful,0,2,2
force,1,1,2
spacious,1,1,2
fare,2,0,2
prosper,0,2,2
afraid,2,0,2
awakd,2,0,2
attempt,2,0,2
brave,2,0,2
herald,0,2,2
became,2,0,2
baths,0,2,2
convey,1,1,2
blown,2,0,2
greatly,0,2,2
soldiers,2,0,2
fatall,2,0,2
sought,1,1,2
disorder,1,1,2
souldiers,2,0,2
birnane,2,0,2
bell,2,0,2
untimely,2,0,2
tyranny,2,0,2
glass,0,2,2
testify,0,2,2
dinner,0,2,2
chambers,1,1,2
misse,2,0,2
demonstrate,0,2,2
mee,2,0,2
yellow,1,1,2
cannons,1,1,2
usd,2,0,2
wake,2,0,2
engines,0,2,2
ioyfull,2,0,2
foolish,1,1,2
stirring,2,0,2
sorry,2,0,2
dried,0,2,2
diseases,0,2,2
doubtfull,2,0,2
timely,2,0,2
liberal,0,2,2
tiger,2,0,2
bee,2,0,2
protest,2,0,2
flies,0,2,2
scarce,0,2,2
stranger,0,1,1
mysterymen,0,1,1
calling,1,0,1
cane,0,1,1
exild,1,0,1
collegiate,0,1,1
treat,0,1,1
viands,0,1,1
planted,1,0,1
karan,0,1,1
served,0,1,1
watchfull,1,0,1
infirmary,0,1,1
removed,0,1,1
wholesome,0,1,1
spare,0,1,1
pistolets,0,1,1
ministers,1,0,1
aforehand,0,1,1
cell,0,1,1
four,0,1,1
butcher,1,0,1
believe,0,1,1
admiration,0,1,1
earles,1,0,1
arrived,0,1,1
samples,0,1,1
parlour,0,1,1
drawing,0,1,1
galleries,0,1,1
thirtyseven,0,1,1
waxed,0,1,1
induce,0,1,1
henceforth,1,0,1
defray,0,1,1
newly,1,0,1
snares,1,0,1
revenue,0,1,1
diet,0,1,1
miraculous,0,1,1
disguise,0,1,1
lifting,0,1,1
reckon,1,0,1
weeks,0,1,1
fiendlike,1,0,1
soon,0,1,1
banish,0,1,1
conservator,0,1,1
follow,0,1,1
straightways,0,1,1
gray,0,1,1
foreign,0,1,1
attendance,0,1,1
higher,0,1,1
weal,0,1,1
box,0,1,1
direct,0,1,1
practices,0,1,1
employments,0,1,1
behave,0,1,1
guide,0,1,1
vocation,0,1,1
assured,0,1,1
conceal,0,1,1
abstracts,0,1,1
severely,0,1,1
hour,0,1,1
quiet,0,1,1
collect,0,1,1
lamps,0,1,1
goods,0,1,1
assembled,0,1,1
removing,0,1,1
singular,0,1,1
carriage,0,1,1
honour,0,1,1
recovery,0,1,1
infectious,0,1,1
penetrating,0,1,1
merchants,0,1,1
hasten,0,1,1
wished,0,1,1
prevented,0,1,1
whitish,0,1,1
christian,0,1,1
strangeness,0,1,1
affectation,0,1,1
chiefly,0,1,1
refreshing,0,1,1
lawfully,0,1,1
pain,0,1,1
pleasing,0,1,1
pirates,0,1,1
fruit,0,1,1
rites,0,1,1
precise,0,1,1
neat,0,1,1
partitions,0,1,1
compilers,0,1,1
cider,0,1,1
clear,0,1,1
ale,0,1,1
grain,0,1,1
grape,0,1,1
obtain,0,1,1
ordinances,0,1,1
interpreters,0,1,1
meetings,0,1,1
dorture,0,1,1
fines,0,1,1
collections,0,1,1
oranges,0,1,1
unwilling,0,1,1
ignominy,0,1,1
aboard,0,1,1
scarlet,0,1,1
license,0,1,1
unlawfully,0,1,1
showed,0,1,1
along,0,1,1
occasions,0,1,1
labours,0,1,1
discoveries,0,1,1
consults,0,1,1
aphorisms,0,1,1
smiled,0,1,1
err,0,1,1
expence,1,0,1
linnen,1,0,1
consequences,1,0,1
pronouncd,1,0,1
epicures,1,0,1
sagge,1,0,1
geese,1,0,1
overred,1,0,1
lillyliverd,1,0,1
patch,1,0,1
counsailers,1,0,1
divinations,0,1,1
whayface,1,0,1
hencewhen,1,0,1
profitable,0,1,1
diseate,1,0,1
faln,1,0,1
accompany,1,0,1
oldage,1,0,1
troopes,1,0,1
taint,1,0,1
reports,1,0,1
curses,1,0,1
giants,1,0,1
hurtful,0,1,1
belt,1,0,1
rule,1,0,1
minutely,1,0,1
revolts,1,0,1
upbraid,1,0,1
faithbreach,1,0,1
commands,1,0,1
dwarfish,1,0,1
birnan,1,0,1
theefe,1,0,1
pesterd,1,0,1
swarmsof,0,1,1
plagues,0,1,1
condemne,1,0,1
medcine,1,0,1
dew,1,0,1
weeds,1,0,1
steed,1,0,1
lowd,1,0,1
buckle,1,0,1
cyme,1,0,1
dogs,1,0,1
armour,1,0,1
staffe,1,0,1
couldst,1,0,1
pristine,1,0,1
eccho,1,0,1
pullt,1,0,1
rubarb,1,0,1
purgative,1,0,1
therein,1,0,1
drugge,1,0,1
scowre,1,0,1
hearst,1,0,1
bane,1,0,1
profit,1,0,1
hardly,1,0,1
cosins,1,0,1
hew,1,0,1
physicke,1,0,1
weighes,1,0,1
mouthhonor,1,0,1
fancies,1,0,1
faine,1,0,1
deny,1,0,1
hackt,1,0,1
moe,1,0,1
skirre,1,0,1
talke,1,0,1
sicke,1,0,1
thickecomming,1,0,1
diseasd,1,0,1
perillous,1,0,1
plucke,1,0,1
rooted,1,0,1
raze,1,0,1
written,1,0,1
oblivious,1,0,1
antidote,1,0,1
cleanse,1,0,1
stufft,1,0,1
distemperd,1,0,1
fortifies,1,0,1
beart,1,0,1
taper,1,0,1
slumbry,1,0,1
agitation,1,0,1
year,0,1,1
actvall,1,0,1
performances,1,0,1
temperature,0,1,1
witnesse,1,0,1
confirme,1,0,1
continvally,1,0,1
benefit,1,0,1
sense,1,0,1
rubbes,1,0,1
accustomd,1,0,1
action,1,0,1
washing,1,0,1
quarter,1,0,1
heark,1,0,1
speaks,1,0,1
watching,1,0,1
receyve,1,0,1
murky,1,0,1
uppon,1,0,1
length,1,0,1
scape,1,0,1
ripe,1,0,1
shaking,1,0,1
powres,1,0,1
watchd,1,0,1
perceive,1,0,1
nightgown,1,0,1
thereupon,0,1,1
perturbation,1,0,1
unlocke,1,0,1
closset,1,0,1
paper,1,0,1
folde,1,0,1
write,1,0,1
counsel,0,1,1
afterwards,1,0,1
seale,1,0,1
saythen,1,0,1
fye,1,0,1
youths,1,0,1
malcolm,1,0,1
deafe,1,0,1
tempests,0,1,1
discharge,1,0,1
needs,1,0,1
scarcity,0,1,1
physitian,1,0,1
annoyance,1,0,1
mated,1,0,1
revenges,1,0,1
whisprings,1,0,1
bleeding,1,0,1
grim,1,0,1
alarme,1,0,1
excite,1,0,1
brother,1,0,1
gentry,1,0,1
seywards,1,0,1
unruffe,1,0,1
earthquakes,0,1,1
directly,1,0,1
accompt,1,0,1
sorely,1,0,1
olde,1,0,1
marre,1,0,1
starting,1,0,1
smell,1,0,1
perfumes,1,0,1
arabia,1,0,1
sweeten,1,0,1
sigh,1,0,1
dignity,1,0,1
ons,1,0,1
beyond,1,0,1
comets,0,1,1
inundations,0,1,1
walkt,1,0,1
dyed,1,0,1
beds,1,0,1
nightgowne,1,0,1
buried,1,0,1
bough,1,0,1
thereby,1,0,1
alowd,1,0,1
tearmes,1,0,1
professes,1,0,1
roman,1,0,1
hellhound,1,0,1
turne,1,0,1
avoyded,1,0,1
sugars,0,1,1
bloodier,1,0,1
worm,0,1,1
loosest,1,0,1
rendred,1,0,1
intrenchant,1,0,1
keene,1,0,1
blade,1,0,1
vulnerable,1,0,1
crests,1,0,1
astronomy,0,1,1
serud,1,0,1
printing,0,1,1
bravely,1,0,1
gently,1,0,1
mothers,1,0,1
childrens,1,0,1
fearefull,1,0,1
lyest,1,0,1
abhorred,1,0,1
prove,1,0,1
weapons,1,0,1
brandishd,1,0,1
beest,1,0,1
stroake,1,0,1
ghosts,1,0,1
brvited,1,0,1
hyrd,1,0,1
staves,1,0,1
unbattered,1,0,1
sheath,1,0,1
undeeded,1,0,1
tradition,0,1,1
shouldst,1,0,1
clatter,1,0,1
monk,0,1,1
womb,1,0,1
hatefull,1,0,1
fairer,1,0,1
missing,1,0,1
debt,1,0,1
prowess,1,0,1
unshrinking,1,0,1
measurd,1,0,1
hurts,1,0,1
soldier,1,0,1
haires,1,0,1
knolld,1,0,1
arriud,1,0,1
parted,1,0,1
score,1,0,1
newer,1,0,1
usurpers,1,0,1
compast,1,0,1
pearle,1,0,1
salutation,1,0,1
voyces,1,0,1
cheapely,1,0,1
shield,1,0,1
ript,1,0,1
columbus,0,1,1
tels,1,0,1
cowd,1,0,1
jugling,1,0,1
fiends,1,0,1
indies,0,1,1
beleeud,1,0,1
palter,1,0,1
sence,1,0,1
gaze,1,0,1
try,1,0,1
rarer,1,0,1
monsters,1,0,1
pole,1,0,1
underwrit,1,0,1
malcolmes,1,0,1
baited,1,0,1
rabbles,1,0,1
opposd,1,0,1
understanding,0,1,1
hoter,1,0,1
hoast,1,0,1
forgot,1,0,1
outward,1,0,1
siedge,1,0,1
agve,1,0,1
forcd,1,0,1
darefull,1,0,1
woods,0,1,1
backward,1,0,1
touchstone,0,1,1
brass,0,1,1
arbitrate,1,0,1
honourable,0,1,1
coold,1,0,1
nightshrieke,1,0,1
treatise,1,0,1
rowze,1,0,1
int,1,0,1
horrors,1,0,1
direness,1,0,1
advance,1,0,1
iron,0,1,1
slaughterous,1,0,1
censures,1,0,1
discovery,1,0,1
erre,1,0,1
confident,1,0,1
indure,1,0,1
befort,1,0,1
advantage,1,0,1
constrained,1,0,1
absent,1,0,1
event,1,0,1
unsure,1,0,1
cities,0,1,1
visits,0,1,1
industrious,1,0,1
souldiership,1,0,1
approaches,1,0,1
circuits,0,1,1
decision,1,0,1
speculative,1,0,1
familiar,1,0,1
heereafter,1,0,1
callst,1,0,1
skreenes,1,0,1
appeare,1,0,1
tarrying,1,0,1
ginn,1,0,1
aweary,1,0,1
undon,1,0,1
alarum,1,0,1
harness,1,0,1
leavy,1,0,1
leade,1,0,1
equivocation,1,0,1
battell,1,0,1
trumpets,1,0,1
clamorous,1,0,1
harbingers,1,0,1
tied,1,0,1
stake,1,0,1
bearelike,1,0,1
thoult,1,0,1
avouches,1,0,1
resolution,1,0,1
creepes,1,0,1
value,0,1,1
petty,1,0,1
pace,1,0,1
recorded,1,0,1
yesterdayes,1,0,1
fooles,1,0,1
dusty,1,0,1
breefe,1,0,1
erect,0,1,1
candle,1,0,1
grove,1,0,1
player,1,0,1
struts,1,0,1
ideot,1,0,1
signifying,1,0,1
lyar,1,0,1
endure,1,0,1
wrath,1,0,1
moving,1,0,1
especial,0,1,1
tumult,0,1,1
express,0,1,1
prime,0,1,1
door,0,1,1
carved,0,1,1
leaded,0,1,1
difference,0,1,1
decocted,0,1,1
sex,0,1,1
always,0,1,1
lower,0,1,1
taratan,0,1,1
lads,0,1,1
carrieth,0,1,1
scroll,0,1,1
parchment,0,1,1
manna,0,1,1
cluster,0,1,1
stalk,0,1,1
mantles,0,1,1
seawater,0,1,1
heralds,0,1,1
privy,0,1,1
loft,0,1,1
traverse,0,1,1
broiding,0,1,1
oval,0,1,1
fleshes,0,1,1
whiter,0,1,1
asp,0,1,1
herbs,0,1,1
winter,0,1,1
curiously,0,1,1
colors,0,1,1
binding,0,1,1
following,0,1,1
brewed,0,1,1
canes,0,1,1
veiled,0,1,1
pulp,0,1,1
woundings,0,1,1
sprig,0,1,1
tears,0,1,1
females,0,1,1
sugar,0,1,1
mantle,0,1,1
streamed,0,1,1
agreeable,0,1,1
recounting,0,1,1
anything,0,1,1
trials,0,1,1
detestation,0,1,1
permit,0,1,1
pools,0,1,1
seeds,0,1,1
spar,0,1,1
vital,0,1,1
stews,0,1,1
corrupt,0,1,1
expulsed,0,1,1
libertine,0,1,1
sinewes,0,1,1
confirming,0,1,1
impure,0,1,1
arefaction,0,1,1
yoked,0,1,1
brewhouses,0,1,1
beautiful,0,1,1
institution,0,1,1
wines,0,1,1
honey,0,1,1
experience,0,1,1
families,0,1,1
partakers,0,1,1
flourish,0,1,1
extraordinary,0,1,1
pollution,0,1,1
foulness,0,1,1
virgin,0,1,1
bakehouses,0,1,1
european,0,1,1
hermit,0,1,1
fornication,0,1,1
foul,0,1,1
ugly,0,1,1
aethiop,0,1,1
kitchens,0,1,1
likeness,0,1,1
carpet,0,1,1
whitemeats,0,1,1
effect,0,1,1
joyfully,0,1,1
ado,0,1,1
refrained,0,1,1
agree,0,1,1
nourish,0,1,1
extremely,0,1,1
utter,0,1,1
perdition,0,1,1
lived,0,1,1
adjacent,0,1,1
corrupting,0,1,1
tedder,0,1,1
seasonings,0,1,1
obtaining,0,1,1
acquaintance,0,1,1
leavenings,0,1,1
meanest,0,1,1
quality,0,1,1
freedom,0,1,1
look,0,1,1
skirt,0,1,1
dear,0,1,1
color,0,1,1
buying,0,1,1
rewarding,0,1,1
sort,0,1,1
chylus,0,1,1
stomach,0,1,1
mariners,0,1,1
contained,0,1,1
shore,0,1,1
rendezvous,0,1,1
weak,0,1,1
missions,0,1,1
circumstances,0,1,1
practique,0,1,1
jewels,0,1,1
commodity,0,1,1
creature,0,1,1
growth,0,1,1
kiss,0,1,1
fish,0,1,1
continually,0,1,1
strive,0,1,1
marriages,0,1,1
fretting,0,1,1
competent,0,1,1
sharpness,0,1,1
subject,0,1,1
biting,0,1,1
reproved,0,1,1
censured,0,1,1
insinuate,0,1,1
advices,0,1,1
decayed,0,1,1
assisteth,0,1,1
public,0,1,1
authority,0,1,1
decrees,0,1,1
disobeyed,0,1,1
seldom,0,1,1
needeth,0,1,1
vine,0,1,1
palm,0,1,1
appeased,0,1,1
observation,0,1,1
liketh,0,1,1
mirror,0,1,1
kernels,0,1,1
andmany,0,1,1
shewing,0,1,1
granted,0,1,1
cost,0,1,1
nourishing,0,1,1
taketh,0,1,1
fashion,0,1,1
suits,0,1,1
sexes,0,1,1
summoned,0,1,1
ripen,0,1,1
mouth,0,1,1
consultation,0,1,1
concerning,0,1,1
mild,0,1,1
discord,0,1,1
restoring,0,1,1
bargain,0,1,1
sensibly,0,1,1
frogs,0,1,1
chineses,0,1,1
shoulders,0,1,1
cements,0,1,1
helmet,0,1,1
montera,0,1,1
locks,0,1,1
curled,0,1,1
decently,0,1,1
brown,0,1,1
hair,0,1,1
litterwise,0,1,1
burials,0,1,1
richly,0,1,1
trapped,0,1,1
effecting,0,1,1
embroidered,0,1,1
footmen,0,1,1
empire,0,1,1
bounds,0,1,1
peachcoloured,0,1,1
porcellain,0,1,1
gloves,0,1,1
pitied,0,1,1
joyful,0,1,1
glad,0,1,1
news,0,1,1
entry,0,1,1
accounting,0,1,1
stature,0,1,1
comely,0,1,1
aspect,0,1,1
wide,0,1,1
composts,0,1,1
sleeves,0,1,1
tower,0,1,1
cape,0,1,1
garment,0,1,1
height,0,1,1
half,0,1,1
girdle,0,1,1
sindon,0,1,1
attire,0,1,1
enlarging,0,1,1
foundation,0,1,1
hatbands,0,1,1
street,0,1,1
silence,0,1,1
finer,0,1,1
leg,0,1,1
stockings,0,1,1
hats,0,1,1
plumes,0,1,1
persian,0,1,1
bareheaded,0,1,1
army,0,1,1
sheephook,0,1,1
carpets,0,1,1
plush,0,1,1
cushions,0,1,1
balmwood,0,1,1
sat,0,1,1
companies,0,1,1
horsemen,0,1,1
wonderfully,0,1,1
mid,0,1,1
tongue,0,1,1
radiant,0,1,1
caused,0,1,1
pages,0,1,1
crystal,0,1,1
foreend,0,1,1
panels,0,1,1
sapphires,0,1,1
hinderend,0,1,1
emeralds,0,1,1
cherub,0,1,1
coats,0,1,1
wings,0,1,1
displayed,0,1,1
covered,0,1,1
crowded,0,1,1
windows,0,1,1
tissued,0,1,1
attendants,0,1,1
battlearray,0,1,1
whereupon,0,1,1
huke,0,1,1
mulct,0,1,1
change,0,1,1
affront,0,1,1
haunting,0,1,1
resort,0,1,1
sometimes,0,1,1
punished,0,1,1
married,0,1,1
bachelors,0,1,1
depraved,0,1,1
hermits,0,1,1
instruct,0,1,1
meretricious,0,1,1
embracements,0,1,1
sin,0,1,1
maketh,0,1,1
imposition,0,1,1
tax,0,1,1
defend,0,1,1
advoutries,0,1,1
necessity,0,1,1
observe,0,1,1
deflowering,0,1,1
tincted,0,1,1
lightnings,0,1,1
alliance,0,1,1
rains,0,1,1
portion,0,1,1
reputation,0,1,1
indifferent,0,1,1
issue,0,1,1
nuptial,0,1,1
union,0,1,1
wells,0,1,1
basely,0,1,1
sources,0,1,1
case,0,1,1
amended,0,1,1
imitation,0,1,1
ought,0,1,1
fountains,0,1,1
tolerated,0,1,1
dwellings,0,1,1
virgins,0,1,1
void,0,1,1
insolation,0,1,1
chiefest,0,1,1
bridle,0,1,1
widow,0,1,1
sarepta,0,1,1
elias,0,1,1
refrigeration,0,1,1
sins,0,1,1
confess,0,1,1
allow,0,1,1
conservation,0,1,1
polygamy,0,1,1
situations,0,1,1
intermarry,0,1,1
contract,0,1,1
month,0,1,1
interview,0,1,1
heights,0,1,1
parents,0,1,1
religion,0,1,1
unchaste,0,1,1
unnatural,0,1,1
flames,0,1,1
preposterous,0,1,1
fiery,0,1,1
wisdom,0,1,1
lots,0,1,1
guests,0,1,1
abusing,0,1,1
gained,0,1,1
furnace,0,1,1
quench,0,1,1
whosoever,0,1,1
anyvent,0,1,1
winds,0,1,1
view,0,1,1
masculine,0,1,1
inviolate,0,1,1
friendships,0,1,1
generally,0,1,1
usual,0,1,1
enable,0,1,1
quantity,0,1,1
offers,0,1,1
egyptian,0,1,1
merrily,0,1,1
remembered,0,1,1
notes,0,1,1
reserve,0,1,1
voices,0,1,1
lawful,0,1,1
reveal,0,1,1
satisfaction,0,1,1
frequented,0,1,1
entire,0,1,1
original,0,1,1
warblings,0,1,1
sailors,0,1,1
tremblings,0,1,1
persians,0,1,1
chaldeans,0,1,1
extenuate,0,1,1
arabians,0,1,1
fame,0,1,1
humbleness,0,1,1
ear,0,1,1
rejected,0,1,1
lest,0,1,1
passed,0,1,1
immediately,0,1,1
trunks,0,1,1
rendering,0,1,1
excused,0,1,1
bowed,0,1,1
shriller,0,1,1
louder,0,1,1
presume,0,1,1
beseeching,0,1,1
encouraged,0,1,1
tossing,0,1,1
vowed,0,1,1
reflecting,0,1,1
professed,0,1,1
echoes,0,1,1
hardiness,0,1,1
propound,0,1,1
resorted,0,1,1
stirps,0,1,1
tribes,0,1,1
soundhouses,0,1,1
climb,0,1,1
scala,0,1,1
quartersounds,0,1,1
harmonies,0,1,1
coeli,0,1,1
poetical,0,1,1
fabulous,0,1,1
atlantis,0,1,1
beams,0,1,1
site,0,1,1
mexico,0,1,1
kingdoms,0,1,1
visual,0,1,1
refractions,0,1,1
reflexions,0,1,1
riches,0,1,1
expeditions,0,1,1
south,0,1,1
ascent,0,1,1
environed,0,1,1
deep,0,1,1
oriental,0,1,1
straits,0,1,1
rings,0,1,1
pillars,0,1,1
hercules,0,1,1
paguin,0,1,1
bells,0,1,1
cambaline,0,1,1
quinzy,0,1,1
sweeter,0,1,1
chains,0,1,1
tartary,0,1,1
magnificent,0,1,1
palace,0,1,1
manifold,0,1,1
slides,0,1,1
streams,0,1,1
navigable,0,1,1
rivers,0,1,1
paused,0,1,1
goodwill,0,1,1
pipes,0,1,1
situation,0,1,1
daily,0,1,1
prevent,0,1,1
comforts,0,1,1
expected,0,1,1
equality,0,1,1
various,0,1,1
serpents,0,1,1
solitary,0,1,1
perpetual,0,1,1
brotherly,0,1,1
clocks,0,1,1
travellers,0,1,1
supporters,0,1,1
swimminggirdles,0,1,1
brooking,0,1,1
habitable,0,1,1
knoweth,0,1,1
fittest,0,1,1
fineness,0,1,1
priests,0,1,1
conceived,0,1,1
impossible,0,1,1
surely,0,1,1
picture,0,1,1
jaws,0,1,1
fallacies,0,1,1
consolations,0,1,1
commandment,0,1,1
fail,0,1,1
obey,0,1,1
enflamed,0,1,1
looked,0,1,1
tread,0,1,1
apparitions,0,1,1
tongues,0,1,1
juggling,0,1,1
roofs,0,1,1
mouths,0,1,1
feats,0,1,1
subtilty,0,1,1
entertainment,0,1,1
boats,0,1,1
floods,0,1,1
interpretation,0,1,1
miracle,0,1,1
forasmuch,0,1,1
workest,0,1,1
muskets,0,1,1
exceedest,0,1,1
swifter,0,1,1
beseech,0,1,1
sign,0,1,1
secretly,0,1,1
acknowledge,0,1,1
sending,0,1,1
bartholomew,0,1,1
enginehouses,0,1,1
christ,0,1,1
angel,0,1,1
appeareth,0,1,1
vision,0,1,1
commit,0,1,1
engine,0,1,1
multiply,0,1,1
worldly,0,1,1
compositions,0,1,1
fireworks,0,1,1
unquenchable,0,1,1
burning,0,1,1
wildfires,0,1,1
divided,0,1,1
vast,0,1,1
walked,0,1,1
converted,0,1,1
asking,0,1,1
stronger,0,1,1
war,0,1,1
seek,0,1,1
briefly,0,1,1
vouchsafed,0,1,1
creation,0,1,1
appertaineth,0,1,1
basilisks,0,1,1
exceeding,0,1,1
author,0,1,1
cited,0,1,1
tough,0,1,1
athenians,0,1,1
prohibitions,0,1,1
calamity,0,1,1
frequent,0,1,1
doubting,0,1,1
novelties,0,1,1
commixture,0,1,1
manners,0,1,1
continued,0,1,1
temper,0,1,1
preserved,0,1,1
provision,0,1,1
tasted,0,1,1
desiring,0,1,1
join,0,1,1
thinking,0,1,1
detain,0,1,1
prisms,0,1,1
wills,0,1,1
discover,0,1,1
interdicts,0,1,1
fundamental,0,1,1
established,0,1,1
recalling,0,1,1
thereof,0,1,1
magnitudes,0,1,1
figures,0,1,1
plentifully,0,1,1
fishing,0,1,1
transportations,0,1,1
sailing,0,1,1
islands,0,1,1
flourishing,0,1,1
perpetuity,0,1,1
delusions,0,1,1
ways,0,1,1
altered,0,1,1
heroical,0,1,1
intentions,0,1,1
foresight,0,1,1
colourations,0,1,1
reach,0,1,1
permitted,0,1,1
prohibition,0,1,1
thirteen,0,1,1
errand,0,1,1
recited,0,1,1
digress,0,1,1
pertinent,0,1,1
nevertheless,0,1,1
ordinance,0,1,1
shops,0,1,1
dies,0,1,1
salomons,0,1,1
affairs,0,1,1
avoiding,0,1,1
lustre,0,1,1
tissues,0,1,1
manufactures,0,1,1
papers,0,1,1
stuffs,0,1,1
landed,0,1,1
fraught,0,1,1
victuals,0,1,1
throughout,0,1,1
communicating,0,1,1
transparent,0,1,1
chinese,0,1,1
bottoms,0,1,1
whatsoever,0,1,1
uncoloured,0,1,1
dream,0,1,1
travelling,0,1,1
radiations,0,1,1
henna,0,1,1
restrain,0,1,1
lawn,0,1,1
flow,0,1,1
keeping,0,1,1
lights,0,1,1
pusillanimity,0,1,1
fear,0,1,1
restraint,0,1,1
perspectivehouses,0,1,1
exception,0,1,1
preserving,0,1,1
soil,0,1,1
fertility,0,1,1
circuit,0,1,1
flood,0,1,1
safety,0,1,1
marvel,0,1,1
population,0,1,1
worms,0,1,1
rudeness,0,1,1
ignorance,0,1,1
younger,0,1,1
universal,0,1,1
inundation,0,1,1
bear,0,1,1
remnant,0,1,1
shapes,0,1,1
seed,0,1,1
remained,0,1,1
peopled,0,1,1
slowly,0,1,1
simple,0,1,1
noah,0,1,1
dismissed,0,1,1
contenting,0,1,1
distinctly,0,1,1
handled,0,1,1
repulse,0,1,1
resistance,0,1,1
forces,0,1,1
circles,0,1,1
clemency,0,1,1
altabin,0,1,1
warrior,0,1,1
knowing,0,1,1
landforces,0,1,1
flaws,0,1,1
halos,0,1,1
entoiled,0,1,1
navy,0,1,1
tamp,0,1,1
compelled,0,1,1
render,0,1,1
striking,0,1,1
stroke,0,1,1
chief,0,1,1
perfectly,0,1,1
five,0,1,1
solamona,0,1,1
americans,0,1,1
commerce,0,1,1
reigned,0,1,1
nineteen,0,1,1
ago,0,1,1
adore,0,1,1
superstitiously,0,1,1
instrument,0,1,1
procure,0,1,1
feigned,0,1,1
inscrutable,0,1,1
wholly,0,1,1
consideration,0,1,1
sufficient,0,1,1
originally,0,1,1
shadows,0,1,1
substantive,0,1,1
foreigner,0,1,1
traffic,0,1,1
accident,0,1,1
civility,0,1,1
goats,0,1,1
mountainous,0,1,1
habitations,0,1,1
regions,0,1,1
clothe,0,1,1
spectacles,0,1,1
skins,0,1,1
bears,0,1,1
hairy,0,1,1
valley,0,1,1
main,0,1,1
intolerable,0,1,1
heats,0,1,1
apparel,0,1,1
forced,0,1,1
continueth,0,1,1
ancestors,0,1,1
invited,0,1,1
grounds,0,1,1
bidden,0,1,1
gall,1,0,1
intermission,1,0,1
turning,1,0,1
cock,1,0,1
provoker,1,0,1
provoke,1,0,1
nosepainting,1,0,1
unprovokes,1,0,1
performance,1,0,1
equivocator,1,0,1
marres,1,0,1
sets,1,0,1
perswades,1,0,1
disheartens,1,0,1
conclusion,1,0,1
equivocates,1,0,1
giving,1,0,1
ithe,1,0,1
requited,1,0,1
legges,1,0,1
slipt,1,0,1
physicks,1,0,1
paine,1,0,1
limitted,1,0,1
carowsing,1,0,1
porter,1,0,1
knowt,1,0,1
indeede,1,0,1
sleeve,1,0,1
labors,1,0,1
balme,1,0,1
nourisher,1,0,1
unbend,1,0,1
brainesickly,1,0,1
witness,1,0,1
smeare,1,0,1
infirme,1,0,1
pictures,1,0,1
childhood,1,0,1
gvild,1,0,1
appalls,1,0,1
hah,1,0,1
pluck,1,0,1
neptunes,1,0,1
ocean,1,0,1
multitudinous,1,0,1
incarnardine,1,0,1
red,1,0,1
heres,1,0,1
appoint,1,0,1
unruly,1,0,1
chimneys,1,0,1
lamentings,1,0,1
bvilding,1,0,1
approch,1,0,1
gorgon,1,0,1
hideous,1,0,1
trumpet,1,0,1
parley,1,0,1
sleepers,1,0,1
repetition,1,0,1
duff,1,0,1
contradict,1,0,1
dyd,1,0,1
blessed,1,0,1
instant,1,0,1
serious,1,0,1
mortality,1,0,1
toyes,1,0,1
renown,1,0,1
drawn,1,0,1
lees,1,0,1
vault,1,0,1
brag,1,0,1
stole,1,0,1
anoynted,1,0,1
lords,1,0,1
obscure,1,0,1
schreemes,1,0,1
prophecying,1,0,1
accents,1,0,1
dyre,1,0,1
combustion,1,0,1
confusd,1,0,1
events,1,0,1
hatchd,1,0,1
wofull,1,0,1
clamord,1,0,1
ope,1,0,1
livelong,1,0,1
fevorous,1,0,1
twas,1,0,1
rough,1,0,1
paralell,1,0,1
conceive,1,0,1
lenoxconfusion,1,0,1
masterpeece,1,0,1
sacrilegious,1,0,1
raveld,1,0,1
knits,1,0,1
voyce,1,0,1
feat,1,0,1
soundly,1,0,1
chamberlaines,1,0,1
wassell,1,0,1
convince,1,0,1
warder,1,0,1
fume,1,0,1
receit,1,0,1
lymbeck,1,0,1
swinish,1,0,1
drenched,1,0,1
ungvarded,1,0,1
spungy,1,0,1
quell,1,0,1
menchildren,1,0,1
undaunted,1,0,1
mettle,1,0,1
compose,1,0,1
griefes,1,0,1
clamor,1,0,1
rore,1,0,1
bend,1,0,1
iourney,1,0,1
whereto,1,0,1
asleepe,1,0,1
unmake,1,0,1
ornament,1,0,1
letting,1,0,1
wait,1,0,1
